title,location,Company,Work_type,Link,Requirements
Data Scientist,B.Tech,"Nasr City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/PQMGHYf3ewuu-Data-Scientist-B-Tech-Cairo-Egypt?o=1&l=sp&t=sj&a=data scientist|search-v3|hpb,"Graduation: Bachelor’s in Computer Science, Statistics, Mathematics or relevant field.| Education: Acquaintance with using statistical computer languages and querying databases with (R, Python, SQL, MySQL etc.) to manipulate data and draw insights from large data sets.| Years of experience: 1 ~ 2 years."
Senior Data Scientist,Synapse Analytics,"Heliopolis, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/cwKmjRY9qv1O-Senior-Data-Scientist-Synapse-Analytics-Cairo-Egypt?o=2&l=sp&t=sj&a=data scientist|search-v3|hpb,"B.Sc. in Statistics, Mathematics, Computer Science, or another quantitative field.| 2-4 years of experience handling data sets and building statistical/machine learning models in a production environment| Experience in communicating with non-technical users| Experience with time series, recommendation engines, credit scoring, and classification problems| Experience in Python, SQL, R or other programming languages.| Understanding of statistics (e.g., hypothesis testing, statistical inference, regression).| Excellent written and verbal communication skills for coordinating across teams.| A drive to learn and master new technologies and techniques.| Preferably a background in software development."
Data Scientist,Tech-Hub,"New Cairo, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/BOEVtG4g5k9T-Data-Scientist-Tech-Hub-Cairo-Egypt?o=3&l=sp&t=sj&a=data scientist|search-v3|hpb,"Strong problem solving skills with an emphasis on product development.| Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.| Experience working with and creating data architectures.| Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.| Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.| Excellent written and verbal communication skills for coordinating across teams.| A drive to learn and master new technologies and techniques.| We’re looking for someone with 3-5 years of experience manipulating data sets and building statistical models, has a degree in Statistics, Mathematics, Computer Science or another quantitative field, and is familiar with the following software/tools:Coding knowledge and experience with several languages: R, Python, Java, etc.Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.Experience querying databases and using statistical computer languages: R, Python, SLQ, etc.Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.Experience analyzing data from 3rd party providers: Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, etc.Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc.| Coding knowledge and experience with several languages: R, Python, Java, etc.| Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.| Experience querying databases and using statistical computer languages: R, Python, SLQ, etc.| Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.| Experience analyzing data from 3rd party providers: Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, etc.| Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc.| Experience visualizing/presenting data for stakeholders using: Cognos, Business Objects, Tableau, etc."
Data Science Lead,MoneyFellows,"Maadi, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/6v9mCtgxxKjE-Data-Science-Lead-MoneyFellows-Cairo-Egypt?o=4&l=sp&t=sj&a=data scientist|search-v3|hpb," BSc/BA in Computer Science, Engineering or relevant field.|  Proven experience as a Data Scientist or similar role (3+ year of experience)|  Good scripting and programming skills|  Solid understanding of machine learning algorithms and when to use them.|  Python|  MySQL|  Tableau|  Strong problem solving ability |  Take initiatives and propose data projects that serve our business goals"
Machine Learning Engineer,VA Computing Egypt,"New Cairo, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/w0HsfO0tgJww-Machine-Learning-Engineer-VA-Computing-Egypt-Cairo-Egypt?o=5&l=sp&t=sj&a=data scientist|search-v3|hpb,"Bachelor’s degree or above in Computer Science, Software Engineering, or equivalent from."
Senior Full Stack Developer,MarketeersHub,"Mohandessin, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/E2slI1fDiBsr-Senior-Full-Stack-Developer-MarketeersHub-Giza-Egypt?o=6&l=sp&t=sj&a=data scientist|search-v3|hpb,"Proven experience as a Full Stack Developer or similar role| Experience developing desktop and mobile applications| Familiarity with common stacks| Knowledge of multiple front-end languages and libraries (e.g. HTML/ CSS, JavaScript, XML, jQuery)| Knowledge of multiple back-end languages (e.g. C#, Java, Python) and JavaScript frameworks (e.g. Angular, React, Node.js)| Familiarity with databases (e.g. MySQL, MongoDB), web servers (e.g. Apache) and UI/UX design| Degree in Computer Science, Statistics or relevant field"
Full Stack Web Developer,Wdoouh,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/wGlPltNpr2l8-Full-Stack-Web-Developer-Wdoouh-Cairo-Egypt?o=7&l=sp&t=sj&a=data scientist|search-v3|hpb,"Proven experience as a Full Stack Developer or similar role| Experience developing desktop and mobile applications| Familiarity with common stacks| Knowledge of multiple front-end languages and libraries (e.g. HTML/ CSS, JavaScript, XML, jQuery)| Knowledge of multiple back-end languages (e.g. C#, Java, Python) and JavaScript frameworks (e.g. Angular, React, Node.js)| Familiarity with databases (e.g. MySQL, MongoDB), web servers (e.g. Apache) and UI/UX design| Excellent communication and teamwork skills| Great attention to detail| Organizational skills| An analytical mind| Degree in Computer Science, Statistics or relevant field"
Full Stack Developer,Art dimension,"Dokki, Giza, Egypt ",Work from home,https://wuzzuf.net/jobs/p/YQYHIRaEZj61-Full-Stack-Developer-Art-dimension-Giza-Egypt?o=8&l=sp&t=sj&a=data scientist|search-v3|hpb,"Proven experience as a Full Stack Developer or similar role for 7 years.| Knowledge of back-end language (e.g. php) and framework (e.g. laravel) and some JavaScript frameworks such as (e.g.  Angular, Vue js , React, Node.js, etc) .| Knowledge of multiple front-end languages and libraries (e.g. HTML/ CSS, JavaScript, XML, json , jQuery) .| Familiarity with databases (e.g. MySQL, MongoDB), web servers (e.g. Apache), and UI/UX design.| Excellent communication and teamwork skills.| Familiarity with common stacks.| Great attention to detail.| Organizational skills.| An analytical mind."
Senior Full Stack Developer React.js & PHP Laravel,Korashi Group,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/nNRQLYkm0ygt-Senior-Full-Stack-Developer-Reactjs-PHP-Laravel-Korashi-Group-Giza-Egypt?o=9&l=sp&t=sj&a=data scientist|search-v3|hpb,"Proven experience as a Full Stack Developer or similar role| Experience developing websites and apps| Familiarity with common stacks| Knowledge of multiple front-end languages and libraries (e.g. HTML/ CSS, JavaScript, XML, jQuery)| Knowledge of multiple back-end languages (PHP Laravel) and JavaScript frameworks (React.js)| Familiarity with databases (e.g. MySQL, MongoDB), web servers (e.g. Apache), and UI/UX design| Excellent communication and teamwork skills| Great attention to detail| Organizational skills| An analytical mind"
Senior Full-Stack React Engineer,CEPRES,"Sheikh Zayed, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/N8E6dlxZSq0y-Senior-Full-Stack-React-Engineer-CEPRES-Giza-Egypt?o=10&l=sp&t=sj&a=data scientist|search-v3|hpb,"Proven experience as a Full Stack Developer or similar role| Professional experience with React.js and common languages and libraries (e.g. HTML/ CSS, JavaScript, XML, jQuery)| Professional knowledge of one of the back-end frameworks and technologies - A plus would be professional experience with .NET core (e.g. C#, .Net Core, Entity Framework).| Familiarity with databases (e.g. MySQL, MongoDB), web servers (e.g. Apache) and UI/UX design| Experience working in Agile frameworks (e.g Scrum, Kanban, S@S)| Excellent communication and teamwork skills| Great attention to detail| An analytical mind"
